id;money;avg_salary;sal_cat;cat_exp;last_job_diff_cat;save_date_diff_cat;kmeans
268732;25000;21592.537893074863;8.0;1;1;1;3
268741;42275;56494.485221186274;4.0;2;4;2;3
268753;57000;49571.71695955565;6.0;2;3;3;4
268770;30000;30834.567901234568;6.0;2;2;3;3
268777;50000;30834.567901234568;10.0;2;3;3;5
268778;30000;33871.48250178553;6.0;2;1;3;3
268779;30000;40066.91084710743;4.0;2;2;1;2
268790;50000;41020.74551514558;8.0;2;3;3;4
268795;38526;54747.92243767313;4.0;3;1;2;2
268801;30000;41395.31680440772;4.0;2;2;2;2
268804;55000;49571.71695955565;6.0;3;3;3;4
268805;50000;49571.71695955565;6.0;3;2;2;3
268815;30000;33871.48250178553;6.0;2;3;2;3
268855;25000;15488.555628124856;10.0;2;2;2;4
268863;40000;45151.6633010947;6.0;3;2;1;3
268892;46840;63965.942891136234;4.0;3;3;3;3
268899;34216;45151.6633010947;4.0;2;3;1;2
268915;30000;29306.371191135735;6.0;2;3;1;3
268925;100000;68868.73267825649;10.0;3;2;3;5
268961;25000;34380.606764407035;4.0;2;3;3;3
268966;30834;42421.84267110228;4.0;2;3;3;3
268968;150000;50113.53550295858;10.0;3;3;3;5
268971;32577;50113.53550295858;4.0;3;3;3;3
269002;30000;29566.115702479336;6.0;3;3;3;4
269004;35000;51644.444444444445;4.0;3;4;2;3
269005;30000;41955.357142857145;4.0;2;3;3;3
269011;30000;44074.21875;4.0;3;5;3;4
269018;32577;50113.53550295858;4.0;3;3;3;3
269038;30000;34595.70623870762;6.0;3;4;3;4
269097;40000;38848.77126654064;6.0;3;3;2;4
269100;38250;47812.5;4.0;3;3;3;3
269125;30000;40873.69759367631;4.0;2;4;3;3
269193;35000;37177.02422145329;6.0;2;1;1;2
269205;25000;28046.875;6.0;2;2;2;3
269208;300000;78114.0380859375;10.0;3;3;3;5
269219;18000;28046.875;4.0;2;3;2;3
269230;150000;78114.0380859375;10.0;3;3;3;5
269242;30000;29222.93643505765;6.0;2;1;3;3
269265;50000;46140.29096373198;6.0;2;3;3;4
269267;25000;40523.373220368594;4.0;3;3;3;3
269271;30959;41684.97587414899;4.0;3;4;3;4
269283;35000;29222.93643505765;8.0;2;4;2;4
269317;55000;40523.373220368594;8.0;3;5;3;5
269326;34463;46140.29096373198;4.0;3;3;2;3
269333;80000;57356.26980534178;8.0;3;2;1;4
269339;60000;46140.29096373198;8.0;2;2;3;4
269347;80000;37164.3897996357;10.0;3;3;3;5
269359;30000;46683.403688280785;4.0;2;3;3;3
269361;30000;22178.389428119215;8.0;2;3;1;4
269395;30000;46683.403688280785;4.0;3;1;3;3
269406;40978;58343.21189413265;4.0;3;3;3;3
269407;30167;37164.3897996357;4.0;3;3;3;3
269410;20000;37164.3897996357;2.0;3;5;3;3
269415;55000;54727.02763118946;6.0;2;3;3;4
269445;30000;37328.72885309749;4.0;2;2;2;2
269480;11053;17158.952477284125;4.0;1;1;1;1
269501;40000;17158.952477284125;10.0;1;2;3;4
269502;40000;42726.10882487426;6.0;2;3;3;4
