<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
19/11/19;00:00;56.7000000;56.9000000;56.3000000;56.9000000;5610
20/11/19;00:00;56.9000000;57.7000000;56.6000000;57.5000000;12930
21/11/19;00:00;56.8000000;57.6000000;56.4000000;57.5000000;12290
22/11/19;00:00;57.0000000;57.9000000;56.2000000;57.7000000;23120
25/11/19;00:00;58.0000000;58.7000000;57.2000000;57.5000000;21350
26/11/19;00:00;57.3000000;58.1000000;57.0000000;57.9000000;18220
27/11/19;00:00;57.4000000;58.3000000;57.4000000;57.9000000;65270
28/11/19;00:00;57.7000000;58.6000000;57.6000000;57.8000000;21160
29/11/19;00:00;57.7000000;58.2000000;57.4000000;57.8000000;14880
02/12/19;00:00;58.0000000;58.2000000;57.5000000;57.6000000;18850
03/12/19;00:00;57.9000000;58.1000000;56.7000000;57.5000000;22020
04/12/19;00:00;57.3000000;57.3000000;56.6000000;57.2000000;6570
05/12/19;00:00;57.0000000;57.6000000;56.6000000;57.3000000;5510
06/12/19;00:00;56.8000000;58.3000000;56.8000000;57.9000000;14250
09/12/19;00:00;57.3000000;59.3000000;57.3000000;57.7000000;23570
10/12/19;00:00;58.0000000;58.3000000;57.5000000;57.5000000;6210
11/12/19;00:00;58.2000000;58.2000000;57.0000000;57.5000000;15050
12/12/19;00:00;57.2000000;58.7000000;57.1000000;58.4000000;33580
13/12/19;00:00;58.8000000;60.0000000;58.0000000;58.5000000;77660
16/12/19;00:00;58.5000000;58.9000000;57.8000000;58.2000000;40010
17/12/19;00:00;58.8000000;58.8000000;57.5000000;58.6000000;21530
18/12/19;00:00;58.2000000;58.4000000;57.4000000;57.8000000;19150
19/12/19;00:00;57.8000000;58.0000000;57.5000000;57.7000000;11300
20/12/19;00:00;58.0000000;58.0000000;56.9000000;57.3000000;20190
23/12/19;00:00;57.0000000;57.5000000;56.6000000;57.1000000;21280
24/12/19;00:00;57.1000000;57.2000000;56.8000000;56.8000000;9970
25/12/19;00:00;56.8000000;57.3000000;56.8000000;57.3000000;6870
26/12/19;00:00;57.4000000;58.3000000;57.4000000;57.9000000;32370
27/12/19;00:00;58.1000000;58.3000000;57.5000000;57.8000000;61080
30/12/19;00:00;57.9000000;63.0000000;57.3000000;60.4000000;532950
03/01/20;00:00;60.4000000;70.5000000;60.3000000;69.5000000;466620
06/01/20;00:00;69.9000000;75.0000000;69.5000000;73.6000000;448850
08/01/20;00:00;75.9000000;75.9000000;66.3000000;73.0000000;297840
09/01/20;00:00;73.0000000;75.0000000;69.6000000;70.3000000;211360
10/01/20;00:00;71.5000000;73.0000000;70.2000000;71.7000000;93780
13/01/20;00:00;73.1000000;73.8000000;71.1000000;72.3000000;90380
14/01/20;00:00;70.8000000;72.8000000;69.6000000;70.1000000;109930
15/01/20;00:00;70.4000000;72.4000000;68.8000000;70.0000000;220210
16/01/20;00:00;70.9000000;71.8000000;69.9000000;71.3000000;79950
17/01/20;00:00;70.9000000;72.4000000;70.3000000;72.0000000;65660
20/01/20;00:00;71.5000000;73.0000000;70.2000000;71.6000000;52670
21/01/20;00:00;71.6000000;72.1000000;70.3000000;70.9000000;21820
22/01/20;00:00;71.4000000;71.9000000;70.9000000;71.5000000;81720
23/01/20;00:00;71.4000000;71.4000000;67.7000000;69.1000000;91370
24/01/20;00:00;69.3000000;70.0000000;68.0000000;68.4000000;37050
27/01/20;00:00;68.1000000;68.7000000;64.3000000;64.8000000;73580
28/01/20;00:00;65.0000000;69.0000000;64.7000000;67.4000000;76220
29/01/20;00:00;66.5000000;70.5000000;66.2000000;68.0000000;40180
30/01/20;00:00;68.7000000;69.7000000;68.2000000;69.6000000;27910
31/01/20;00:00;69.9000000;70.0000000;67.6000000;67.8000000;25170
03/02/20;00:00;67.6000000;69.8000000;66.0000000;67.7000000;57030
04/02/20;00:00;67.0000000;68.8000000;67.0000000;68.1000000;6650
05/02/20;00:00;67.1000000;69.0000000;65.7000000;66.7000000;40400
06/02/20;00:00;67.1000000;67.8000000;65.9000000;66.7000000;39500
07/02/20;00:00;66.3000000;67.6000000;66.3000000;67.1000000;13220
10/02/20;00:00;67.4000000;69.4000000;66.3000000;68.5000000;49560
11/02/20;00:00;68.1000000;69.0000000;67.6000000;68.2000000;22410
12/02/20;00:00;68.9000000;68.9000000;67.1000000;67.8000000;24500
13/02/20;00:00;68.2000000;68.6000000;66.9000000;67.4000000;10550
14/02/20;00:00;68.0000000;68.0000000;66.1000000;67.7000000;10760
17/02/20;00:00;69.8000000;78.0000000;69.1000000;74.9000000;677310
18/02/20;00:00;75.5000000;79.9000000;71.3000000;73.2000000;607330
19/02/20;00:00;75.0000000;76.0000000;70.2000000;72.1000000;302050
20/02/20;00:00;72.9000000;73.4000000;71.4000000;72.6000000;126720
21/02/20;00:00;71.5000000;74.0000000;71.3000000;72.4000000;35400
25/02/20;00:00;71.0000000;72.8000000;69.7000000;69.8000000;66320
26/02/20;00:00;69.5000000;71.2000000;66.8000000;68.9000000;121720
27/02/20;00:00;68.5000000;68.8000000;65.9000000;67.8000000;59710
28/02/20;00:00;66.5000000;68.5000000;62.5000000;65.5000000;134390
02/03/20;00:00;66.6000000;68.7000000;63.1000000;66.1000000;89620
03/03/20;00:00;66.2000000;67.0000000;63.7000000;67.0000000;44780
04/03/20;00:00;67.0000000;68.5000000;64.8000000;67.6000000;21410
05/03/20;00:00;67.2000000;68.9000000;65.9000000;66.7000000;19950
06/03/20;00:00;66.7000000;66.7000000;60.2000000;63.0000000;91340
10/03/20;00:00;60.0000000;61.9000000;57.0000000;58.4000000;73850
11/03/20;00:00;61.0000000;61.6000000;58.4000000;59.4000000;37570
12/03/20;00:00;58.9000000;69.8000000;50.1000000;51.3000000;171490
13/03/20;00:00;50.3000000;54.0000000;50.2000000;52.9000000;44130
16/03/20;00:00;52.9000000;53.0000000;50.1000000;51.5000000;22440
17/03/20;00:00;51.9000000;52.4000000;48.0000000;48.4000000;51500
